Date,Open,High,Low,Close,Adj Close,Volume
2018-05-07,95.169998,96.709999,95.099998,96.220001,95.804749,24242000
2018-05-08,95.849998,96.160004,95.059998,95.809998,95.396515,23484600
2018-05-09,96.010002,96.970001,95.050003,96.940002,96.521645,27327400
2018-05-10,97.459999,97.949997,97.050003,97.910004,97.487457,22388100
2018-05-11,97.800003,97.870003,97.040001,97.699997,97.278358,16778300
2018-05-14,97.919998,98.690002,97.309998,98.029999,97.606934,19454100
2018-05-15,97.239998,97.849998,96.339996,97.320000,96.900002,24594000
2018-05-16,97.360001,97.400002,96.620003,97.150002,97.150002,17384700
2018-05-17,96.760002,97.540001,95.830002,96.180000,96.180000,17246700
2018-05-18,96.010002,96.930000,96.010002,96.360001,96.360001,17865800
2018-05-21,97.000000,98.010002,96.800003,97.599998,97.599998,19422500
2018-05-22,97.680000,98.169998,97.199997,97.500000,97.500000,15441200
2018-05-23,96.709999,98.730003,96.320000,98.660004,98.660004,21114800
2018-05-24,98.730003,98.940002,96.809998,98.309998,98.309998,21540800
2018-05-25,98.300003,98.980003,97.860001,98.360001,98.360001,18363900
2018-05-29,97.839996,98.879997,97.230003,98.010002,98.010002,28338000
2018-05-30,98.309998,99.250000,97.910004,98.949997,98.949997,22158500
2018-05-31,99.290001,99.989998,98.610001,98.839996,98.839996,34140900
2018-06-01,99.279999,100.860001,99.169998,100.790001,100.790001,28126200
2018-06-04,101.260002,101.860001,100.849998,101.669998,101.669998,27166800
2018-06-05,102.000000,102.330002,101.529999,102.190002,102.190002,23514400
2018-06-06,102.480003,102.599998,101.900002,102.489998,102.489998,21084500
