Date,Open,High,Low,Close,Adj Close,Volume
2018-05-07,57.770000,58.099998,57.080002,57.380001,57.380001,10032400
2018-05-08,57.369999,57.419998,56.259998,56.759998,56.759998,10257200
2018-05-09,56.970001,58.410000,56.830002,57.950001,57.950001,8286300
2018-05-10,58.130001,58.730000,57.930000,58.060001,58.060001,8229100
2018-05-11,58.160000,59.970001,58.130001,59.689999,59.689999,12733300
2018-05-14,59.770000,60.080002,59.430000,59.680000,59.680000,9486700
2018-05-15,59.439999,59.799999,58.900002,59.200001,59.200001,6821500
2018-05-16,59.320000,60.009998,59.110001,59.750000,59.750000,8531700
2018-05-17,59.540001,59.779999,58.880001,59.070000,59.070000,7845800
2018-05-18,58.959999,59.459999,57.490002,59.139999,59.139999,9686300
2018-05-21,59.180000,59.320000,58.389999,58.570000,58.570000,8475400
2018-05-22,58.779999,59.139999,58.400002,58.450001,58.450001,8928500
2018-05-23,58.450001,59.490002,58.430000,59.169998,59.169998,9890900
2018-05-24,59.250000,59.410000,58.810001,59.130001,59.130001,6529800
2018-05-25,59.139999,59.459999,58.840000,59.090000,59.090000,6665400
2018-05-29,58.580002,58.889999,58.029999,58.400002,58.400002,8665100
2018-05-30,58.650002,59.799999,58.520000,59.720001,59.720001,11042000
2018-05-31,59.630001,59.880001,59.310001,59.529999,59.529999,12200400
2018-06-01,59.889999,60.810001,59.619999,60.560001,60.560001,11003200
2018-06-04,61.549999,62.529999,61.180000,62.020000,62.020000,19055300
2018-06-05,62.000000,62.330002,61.060001,61.389999,61.389999,12498300
2018-06-06,61.509998,61.939999,61.220001,61.930000,61.930000,7539400
