Date,Open,High,Low,Close,Adj Close,Volume
2018-05-07,128.399994,129.520004,128.250000,129.259995,129.052612,5737300
2018-05-08,129.139999,129.970001,128.309998,129.899994,129.691589,5044700
2018-05-09,130.009995,131.000000,129.589996,130.839996,130.630081,6119400
2018-05-10,131.289993,131.750000,130.720001,131.000000,130.789825,6585800
2018-05-11,131.000000,132.089996,130.229996,131.820007,131.608521,5437100
2018-05-14,132.429993,132.500000,130.669998,131.210007,130.999496,5017000
2018-05-15,130.559998,131.399994,129.899994,131.100006,130.889679,5532300
2018-05-16,131.089996,131.399994,130.539993,130.889999,130.680008,5124200
2018-05-17,130.580002,130.800003,129.610001,129.929993,129.929993,4911700
2018-05-18,129.619995,130.339996,129.070007,129.929993,129.929993,6082700
2018-05-21,130.949997,131.509995,129.990005,130.660004,130.660004,5591800
2018-05-22,131.000000,131.779999,130.500000,130.710007,130.710007,6645500
2018-05-23,130.059998,131.910004,129.800003,131.880005,131.880005,6545200
2018-05-24,131.820007,132.210007,130.500000,131.889999,131.889999,5977200
2018-05-25,131.880005,132.100006,130.929993,131.279999,131.279999,7509600
2018-05-29,130.389999,131.050003,129.059998,129.690002,129.690002,10367200
2018-05-30,130.199997,131.100006,129.869995,130.639999,130.639999,10631300
2018-05-31,130.649994,131.580002,129.979996,130.720001,130.720001,11086000
2018-06-01,131.839996,132.509995,130.360001,130.850006,130.850006,8302700
2018-06-04,131.940002,133.570007,131.429993,133.070007,133.070007,7158200
2018-06-05,133.380005,133.619995,132.699997,133.559998,133.559998,6198200
2018-06-06,134.000000,136.309998,133.610001,136.279999,136.279999,8035400
