Date,Open,High,Low,Close,Adj Close,Volume
2018-05-07,52.970001,52.990002,52.380001,52.660000,52.660000,16259100
2018-05-08,52.720001,53.709999,52.630001,53.189999,53.189999,20786200
2018-05-09,53.450001,53.980000,53.349998,53.759998,53.759998,16286700
2018-05-10,54.130001,54.730000,53.630001,54.650002,54.650002,20699000
2018-05-11,54.689999,54.930000,54.270000,54.450001,54.450001,14424000
2018-05-14,54.779999,54.820000,54.330002,54.480000,54.480000,12809100
2018-05-15,54.430000,55.279999,54.380001,54.750000,54.750000,14991100
2018-05-16,54.700001,55.320000,54.560001,55.040001,55.040001,16450200
2018-05-17,54.400002,54.669998,54.029999,54.220001,54.220001,21622400
2018-05-18,54.150002,54.419998,53.689999,53.700001,53.700001,21492700
2018-05-21,54.080002,54.630001,54.070000,54.540001,54.540001,11491400
2018-05-22,54.630001,55.650002,54.439999,55.259998,55.259998,17398200
2018-05-23,55.029999,56.180000,54.630001,56.180000,56.180000,23429000
2018-05-24,55.869999,55.900002,54.439999,54.669998,54.669998,24362700
2018-05-25,54.599998,54.990002,54.529999,54.900002,54.900002,17741900
2018-05-29,54.040001,54.259998,52.639999,52.950001,52.950001,31392900
2018-05-30,53.660000,54.439999,53.380001,54.230000,54.230000,16416200
2018-05-31,54.209999,54.380001,53.799999,53.990002,53.990002,17515900
2018-06-01,54.560001,55.020000,54.279999,54.689999,54.689999,14057800
2018-06-04,54.790001,55.169998,54.599998,54.830002,54.830002,9940600
2018-06-05,54.610001,54.930000,54.290001,54.500000,54.500000,11883900
2018-06-06,54.720001,55.630001,54.660000,55.580002,55.580002,15773200
